user_id,QoS_bandwidth,QoS_packet-loss,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
10,2048,0,0.439,0.072,360,451,25,2,1627,5,1,0,2,0,25,5,3,4,3,4,3
103,3072,0,0.274,0.039,360,190,30,2,1629,2,1,0,5,1,22,5,4,4,4,4,4
34,3072,0,0.454,0.051,360,734,25,1,1631,4,1,0,4,1,26,5,1,2,3,3,3
24,2048,0,0.302,0.046,360,577,30,1,1636,2,1,0,6,1,23,5,2,5,4,4,3
35,3072,0,0.435,0.049,360,666,25,1,1638,5,1,0,4,0,37,5,4,4,4,5,4
21,3584,0,0.348,0.043,360,187,30,2,1641,4,1,0,3,0,27,5,4,5,5,5,5
144,2048,0,0.349,0.068,360,705,24,1,1642,5,1,0,8,1,41,5,5,5,5,5,5
9,3072,0,0.499,0.018,360,196,24,1,1645,5,1,0,2,1,27,5,3,4,4,4,4
59,1024,0,0.403,0.06,360,383,30,1,1646,3,2,2,6,1,31,5,4,5,4,5,4
34,3072,0,0.318,0.027,360,551,25,1,1647,5,1,0,2,1,26,5,4,5,5,5,5
20,3072,0,0.318,0.027,360,664,25,1,1648,5,1,0,2,1,29,5,4,4,2,3,3
80,3584,0,0.333,0.034,360,707,25,1,1648,5,2,2,6,1,21,5,3,5,4,4,4
137,1024,0,0.407,0.061,360,294,25,1,1651,5,1,0,5,1,26,5,5,5,2,5,3
5,1024,0,0.487,0.036,360,550,25,2,1652,2,1,0,3,1,24,5,3,3,2,3,2
50,1536,0,0.527,0.056,360,578,30,1,1656,3,1,0,4,1,25,5,4,5,5,5,5
75,1536,0,0.285,0.054,360,412,25,1,1659,5,1,0,6,1,17,5,4,4,4,4,4
92,1024,0,0.274,0.039,360,707,25,2,1660,2,1,0,4,1,25,5,4,5,5,5,5
34,3072,0,0.411,0.032,360,392,30,1,1662,5,2,2,2,1,26,5,4,5,4,5,4
64,3584,0,0.319,0.05,360,399,30,1,1662,5,1,0,2,1,26,5,4,4,4,4,4
75,3072,0,0.444,0.049,360,544,25,1,1662,5,2,2,6,1,17,5,4,5,5,4,4
102,3072,0,0.309,0.03,360,300,30,2,1663,4,2,2,6,1,19,5,4,5,3,4,4
25,1536,0,0.386,0.052,360,527,25,1,1667,5,1,0,2,0,28,5,4,5,3,4,3
13,1536,0,0.285,0.054,360,731,25,1,1668,2,1,0,6,1,29,5,3,5,3,4,3
131,1536,0,0.45,0.033,360,327,30,2,1669,4,1,0,5,1,27,5,3,5,4,3,4
28,1024,0,0.465,0.08,360,662,25,1,1670,2,1,0,3,0,28,5,3,3,3,3,3
82,1024,0,0.411,0.032,360,567,25,1,1675,5,1,0,2,1,26,5,3,5,4,4,4
26,1024,0,0.483,0.034,360,307,30,1,1681,5,1,0,2,1,33,5,2,4,2,3,2
40,1024,0,0.48,0.073,360,551,25,1,1682,2,1,0,3,1,21,5,4,5,4,4,4
21,1024,0,0.48,0.054,360,327,30,1,1682,2,1,0,6,0,27,5,1,5,5,5,5
8,1536,0,0.433,0.032,240,71,25,1,1684,5,1,0,6,1,23,5,3,4,3,4,4
46,1536,0,0.481,0.041,360,384,30,1,1685,5,1,0,2,1,25,5,3,5,5,4,5
46,1536,0,0.483,0.064,360,730,25,1,1685,5,1,0,2,1,25,5,3,5,5,5,5
76,1024,0,0.309,0.03,360,395,30,1,1687,2,1,0,3,1,21,5,5,5,4,4,4
84,1536,0,0.456,0.042,360,532,25,1,1698,5,1,0,2,1,27,5,3,5,4,5,4
83,3072,0,0.421,0.058,360,736,24,1,1698,5,1,0,3,1,30,5,4,4,4,4,4
20,3584,0,0.289,0.037,360,410,25,1,1699,5,1,0,2,1,29,5,4,4,4,4,4
151,1536,0,0.354,0.065,360,630,25,1,1699,5,1,0,3,1,33,5,5,5,4,5,4
75,1024,0,0.328,0.049,360,731,25,1,1702,5,1,0,2,1,17,5,4,3,3,4,3
20,1024,0,0.454,0.051,360,662,25,1,1703,5,2,2,2,1,29,5,5,5,5,5,5
45,1024,0,0.435,0.071,360,723,25,1,1704,5,2,2,2,1,23,5,3,4,4,4,4
43,1536,0,0.393,0.026,360,555,25,1,1706,5,2,2,2,1,21,5,3,4,3,3,3
110,1536,0,0.324,0.032,360,578,30,2,1709,4,2,2,8,1,20,2,4,5,4,5,4
52,1024,0,0.487,0.062,360,410,25,1,1710,2,2,2,2,1,26,5,4,5,4,4,4
49,1536,0,0.37,0.035,360,399,30,1,1710,5,2,2,6,1,24,5,4,5,4,4,4
31,1536,0,0.47,0.084,240,119,24,1,1711,3,2,2,2,1,25,5,3,5,4,4,4
154,1536,0,0.433,0.032,360,453,25,1,1712,5,2,2,2,0,30,4,4,5,5,5,5
76,1536,0,0.304,0.043,360,300,30,1,1712,5,2,2,3,1,21,5,4,4,4,5,4
59,1536,0,0.497,0.084,360,399,30,1,1714,5,2,2,6,1,31,5,4,4,4,3,3
138,1536,0,0.477,0.057,360,47,10,2,1718,5,2,2,3,1,26,5,5,5,4,4,4
22,1536,0,0.363,0.063,360,372,25,2,1719,4,2,2,3,0,26,5,5,5,5,5,5
7,1024,0,0.303,0.043,360,709,25,2,1720,2,2,2,2,0,28,5,4,4,5,4,5
117,1536,0,0.289,0.037,360,737,30,2,1722,4,2,2,5,0,29,5,4,5,4,4,4
54,3072,0,0.408,0.033,360,392,30,1,1724,3,1,0,2,1,27,5,1,5,5,5,5
156,3584,0,0.502,0.058,240,491,24,1,1729,5,1,0,7,0,55,5,4,5,3,4,4
50,3072,0,0.407,0.063,240,71,25,1,1729,5,1,0,4,1,25,5,4,5,5,5,5
46,3072,0,0.377,0.056,360,587,25,1,1733,5,1,0,2,1,25,5,3,5,4,4,3
136,1536,0,0.461,0.041,360,629,25,1,1739,5,1,0,4,1,31,5,4,5,3,4,3
27,1536,0,0.393,0.055,360,309,30,1,1742,5,1,0,2,1,27,5,4,5,5,4,5
154,1536,0,0.357,0.065,360,204,31,2,1743,5,1,0,2,0,30,5,4,5,2,3,2
39,1024,0,0.435,0.069,360,383,30,1,1744,4,2,2,4,1,20,5,4,5,5,4,4
31,1024,0,0.454,0.08,360,300,24,1,1745,4,1,0,2,1,25,5,3,5,4,4,4
130,1024,0,0.426,0.047,360,401,30,1,1747,4,1,0,5,1,29,5,5,5,4,4,5
